,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,,hit in circadian DEG
Gm19265,0.207121367,0.142382399,0.027,0,1,,
Gm15494,0.207121367,0.155678918,0.027,0,1,,
Exosc5,0.207121367,0.139187175,0.027,0,1,,
Zfp607b,0.207121367,0.151607815,0.027,0,1,,
Spint2,0.207121367,0.143347874,0.027,0,1,,
Lin37,0.207121367,0.155367058,0.027,0,1,,
Stk33,0.207121367,0.179745149,0.027,0,1,,
D7Ertd443e,0.207121367,0.188437763,0.027,0,1,,
Ankrd37,0.207121367,0.166508387,0.027,0,1,,
Dcaf15,0.207121367,0.137502213,0.027,0,1,,
Fcsk,0.207121367,0.145880501,0.027,0,1,,
Ciao2a,0.207121367,0.142433936,0.027,0,1,,
Gm37621,0.207121367,0.140535063,0.027,0,1,,
Impdh2,0.207121367,0.160669268,0.027,0,1,,
4933411E02Rik,0.207121367,0.125138433,0.027,0,1,,
ENSMUSG00000120906,0.207121367,0.138614465,0.027,0,1,,
Slc1a4,0.207121367,0.144728153,0.027,0,1,,
Tcf7,0.207121367,0.128131868,0.027,0,1,,
Stard3,0.207121367,0.139244807,0.027,0,1,,
Tmem94,0.207121367,0.129555711,0.027,0,1,,
Rdh11,0.207121367,0.149620966,0.027,0,1,,
Hhipl1,0.207121367,0.129378332,0.027,0,1,,
Zscan12,0.207121367,0.15592289,0.027,0,1,,
Comtd1,0.207121367,0.144283636,0.027,0,1,,
Gm5089,0.207121367,0.151681949,0.027,0,1,,
ENSMUSG00000120961,0.207121367,0.152627768,0.027,0,1,,
Aars2,0.207121367,0.132093632,0.027,0,1,,
Gm50371,0.207121367,0.138889209,0.027,0,1,,
Adnp2,0.207121367,0.133809158,0.027,0,1,,
C330002G04Rik,0.207121367,0.155338851,0.027,0,1,,
Gm14776,0.207121367,0.125554657,0.027,0,1,,
Pwwp3b,0.207121367,0.12834129,0.027,0,1,,
Dtna,0.207166145,0.108968626,0.249,0.155,1,,
Gm17494,0.207193242,0.153867483,0.082,0.034,1,,
Suds3,0.207260854,-0.102036513,0.187,0.103,1,,
Hint1,0.207290383,-0.577612018,0.218,0.259,1,,
Itfg2,0.207310354,0.132488632,0.083,0.034,1,,
Trappc11,0.207399216,0.011589883,0.084,0.034,1,,
Fam162a,0.207463189,0.253497166,0.08,0.034,1,,
Cdc37l1,0.207503351,0.015642326,0.273,0.172,1,,
Pycr2,0.207589803,0.183858294,0.056,0.017,1,,
Htt,0.20768976,0.004948709,0.23,0.138,1,,
Chic2,0.207775268,0.184242516,0.13,0.069,1,,
Eaf2,0.207874984,-0.048002186,0.159,0.086,1,,
Klhl22,0.207962682,-0.040223623,0.156,0.086,1,,
Rin2,0.208028821,-0.467222821,0.038,0.069,1,,
Xiap,0.208365526,-0.170609391,0.174,0.103,1,,
Pcsk5,0.208958945,0.140230803,0.083,0.034,1,,
Zfp383,0.209050438,-0.062788646,0.013,0.034,1,,
Meis3,0.209172955,-0.495569072,0.038,0.069,1,,
Zfp955b,0.209268339,0.181207309,0.082,0.034,1,,
Egln1,0.209372584,0.141422757,0.083,0.034,1,,
Tmed10,0.209523794,-0.044640098,0.182,0.103,1,,
Ndrg4,0.209772812,0.023102402,0.454,0.31,1,,
Clcn4,0.210060987,-0.284322231,0.161,0.086,1,,
Cul1,0.210143009,0.005727635,0.322,0.207,1,,
Mrpl45,0.210210429,-0.290629632,0.05,0.086,1,,
Hsph1,0.210220584,0.192151577,0.106,0.052,1,,
Ppm1h,0.210307027,0.049762383,0.178,0.103,1,,
Ubald2,0.210349242,-0.217197387,0.037,0.069,1,,
Hmgcl,0.210438591,0.073607775,0.107,0.052,1,,
Zdhhc21,0.210611233,0.056484216,0.156,0.086,1,,
Gak,0.210630558,0.048370626,0.133,0.069,1,,
H3f3a,0.210656607,-0.626924933,0.284,0.31,1,,
Rnaseh2c,0.210715858,-0.364229623,0.05,0.086,1,,
Psmc2,0.210962417,-0.015615482,0.106,0.052,1,,
Gm43485,0.211101636,0.130843335,0.105,0.052,1,,
Tob1,0.211238143,0.237106792,0.08,0.034,1,,
Tmem41b,0.211358468,0.180108043,0.082,0.034,1,,
Gm38134,0.21137365,0.029349845,0.109,0.052,1,,
Mfsd4a,0.211449631,0.085221604,0.083,0.034,1,,
Gm16124,0.211449631,0.120682168,0.083,0.034,1,,
Cebpz,0.211472603,0.093370001,0.154,0.086,1,,
Ap2a1,0.21152002,0.165498791,0.106,0.052,1,,
Mrps31,0.211580131,0.179770594,0.056,0.017,1,,
Ctdsp2,0.211778296,0.16768225,0.082,0.034,1,,
Marf1,0.21205417,0.101012525,0.152,0.086,1,,
Clu,0.212078354,0.252066604,0.148,0.086,1,,
Nptn,0.212099538,0.125823513,0.639,0.448,1,,
Kif16b,0.212284608,0.024717773,0.083,0.034,1,,
Mast2,0.212557781,-0.568717137,0.279,0.31,1,,
Tmx1,0.212647957,-0.602293944,0.066,0.103,1,,
Rybp,0.213032309,0.117877024,0.107,0.052,1,,
Zfp933,0.213032316,0.003821976,0.107,0.052,1,,
Ptch1,0.213056681,0.053363487,0.154,0.086,1,,
Rbl2,0.21312623,0.052690039,0.156,0.086,1,,
Pcdh7,0.213139851,0.300620724,0.654,0.517,1,,
Diras2,0.213216025,-0.40487948,0.094,0.138,1,,
Ppp4r1,0.213412719,0.086206879,0.155,0.086,1,,
Ube4b,0.213689213,0.01935078,0.228,0.138,1,,
Slc16a11,0.213766902,0.191071442,0.055,0.017,1,,
Gnl2,0.213777602,0.030170176,0.107,0.052,1,,
Gabrg2,0.214143296,0.103755854,0.334,0.224,1,,
Rab24,0.214367558,0.208218605,0.102,0.052,1,,
Cwc15,0.214396222,-0.102795143,0.134,0.069,1,,
Odf2,0.214472027,-0.047592121,0.226,0.138,1,,
Ago3,0.214574716,-0.060997785,0.33,0.207,1,,
2810405F17Rik,0.214609055,0.097164777,0.056,0.017,1,,
Osgep,0.214609055,0.12838562,0.056,0.017,1,,
Malt1,0.214609055,0.123823791,0.056,0.017,1,,
Ctr9,0.214706963,-0.055454117,0.109,0.052,1,,
Csdc2,0.214884189,0.030382634,0.157,0.086,1,,
Cdo1,0.215116874,0.11501122,0.056,0.017,1,,
Adamts17,0.2151169,0.09863233,0.056,0.017,1,,
Ikzf5,0.2151169,0.106142848,0.056,0.017,1,,
Rai14,0.2151169,0.118540915,0.056,0.017,1,,
Ankrd13c,0.215288746,-0.025200728,0.154,0.086,1,,
Polr2c,0.21530432,0.20081181,0.055,0.017,1,,
Gan,0.21530432,0.215401961,0.055,0.017,1,,
Dixdc1,0.215380176,0.053275373,0.178,0.103,1,,
Hltf,0.215405462,0.187507222,0.128,0.069,1,,
Znhit1,0.215625597,-0.457426776,0.051,0.086,1,,
Ctps,0.215625611,0.092887141,0.056,0.017,1,,
Svip,0.215625611,0.027263799,0.056,0.017,1,,
Zmiz1os1,0.215625611,0.048913941,0.056,0.017,1,,
Zfp952,0.215625611,0.115506034,0.056,0.017,1,,
Hacd4,0.21564832,-0.019680166,0.083,0.034,1,,
Evi5l,0.215830456,0.162426899,0.106,0.052,1,,
Uba2,0.215925475,-0.087729141,0.13,0.069,1,,
Ilrun,0.215925475,0.031751841,0.13,0.069,1,,
Vps37d,0.216135173,0.073116727,0.056,0.017,1,,
Snhg3,0.216135187,0.028151744,0.056,0.017,1,,
Uspl1,0.216135187,-0.00433155,0.056,0.017,1,,
Isy1,0.216135187,0.056800679,0.056,0.017,1,,
Wdr73,0.216135187,0.073692981,0.056,0.017,1,,
Gm44798,0.216135187,0.086358808,0.056,0.017,1,,
Atrip,0.216135187,0.102740942,0.056,0.017,1,,
Stat2,0.216135187,0.109993269,0.056,0.017,1,,
Ccdc117,0.216135187,0.068614266,0.056,0.017,1,,
Gskip,0.216135187,0.065886141,0.056,0.017,1,,
Maoa,0.216135187,-0.002506539,0.056,0.017,1,,
Nkain1,0.216196313,-0.501653307,0.026,0.052,1,,
Pex1,0.216208252,0.139937035,0.106,0.052,1,,
Zfp799,0.216214633,-0.257615006,0.229,0.138,1,,
Gm47167,0.216311111,-0.282215909,0.16,0.086,1,,
Larp7,0.216333682,0.195292629,0.055,0.017,1,,
Fndc5,0.216495226,-0.129781001,0.083,0.034,1,,
Apoo,0.216537034,0.074364383,0.129,0.069,1,,
Ccdc58,0.216630594,-0.06339404,0.157,0.086,1,,
1500004A13Rik,0.216645797,-0.044985821,0.349,0.224,1,,
Smc1a,0.216934523,-0.099612173,0.182,0.103,1,,
Rps21,0.216993365,-0.59614263,0.188,0.224,1,,
Btbd3,0.217005848,-0.07583742,0.205,0.121,1,,
Sirt4,0.217309699,-0.345196692,0.038,0.069,1,,
Golga7b,0.217366582,0.196643,0.055,0.017,1,,
Sfswap,0.217427851,-0.030023421,0.159,0.086,1,,
Disp2,0.217460014,0.070634459,0.151,0.086,1,,
Gtf3c6,0.217608502,-0.451365465,0.026,0.052,1,,
Thyn1,0.217639663,0.126181094,0.08,0.034,1,,
Arf1,0.217763656,-0.05548381,0.133,0.069,1,,
Ddx17,0.217801662,0.122750463,0.559,0.379,1,,
H1f2,0.21788436,0.209128194,0.055,0.017,1,,
Gm36955,0.218037687,0.127954095,0.026,0,1,,
Rapgef4os2,0.218037687,0.113620881,0.026,0,1,,
Lpcat4,0.218037687,0.11057108,0.026,0,1,,
Crtc2,0.218037687,0.12911715,0.026,0,1,,
Mov10,0.218037687,0.118731871,0.026,0,1,,
Galns,0.218037687,0.17248421,0.026,0,1,,
Tns1,0.218037716,0.128593377,0.026,0,1,,
Obsl1,0.218037716,0.130270646,0.026,0,1,,
Gm38365,0.218037716,0.120374075,0.026,0,1,,
Ing5,0.218037716,0.149279229,0.026,0,1,,
Gm13187,0.218037716,0.123181716,0.026,0,1,,
Gm44144,0.218037716,0.136845925,0.026,0,1,,
Inafm2,0.218037716,0.126732054,0.026,0,1,,
Adam33,0.218037716,0.167339988,0.026,0,1,,
Gm14455,0.218037716,0.147837158,0.026,0,1,,
Zbtb46,0.218037716,0.139554983,0.026,0,1,,
Gm43439,0.218037716,0.127783279,0.026,0,1,,
Gm42841,0.218037716,0.124583035,0.026,0,1,,
Trim59,0.218037716,0.149543582,0.026,0,1,,
Efcab7,0.218037716,0.118843863,0.026,0,1,,
Ndc1,0.218037716,0.131862319,0.026,0,1,,
Echdc2,0.218037716,0.154781281,0.026,0,1,,
Ppcs,0.218037716,0.1521362,0.026,0,1,,
Ptpru,0.218037716,0.137598257,0.026,0,1,,
Gm37711,0.218037716,0.11613616,0.026,0,1,,
Gpr153,0.218037716,0.156685842,0.026,0,1,,
Gm16057,0.218037716,0.12455816,0.026,0,1,,
Haus3,0.218037716,0.156895974,0.026,0,1,,
ENSMUSG00000121172,0.218037716,0.130103194,0.026,0,1,,
Triap1,0.218037716,0.161734126,0.026,0,1,,
Slc15a4,0.218037716,0.146401897,0.026,0,1,,
Gm42442,0.218037716,0.128597513,0.026,0,1,,
Abhd11,0.218037716,0.145535694,0.026,0,1,,
Ephb6,0.218037716,0.148039362,0.026,0,1,,
Gprin3,0.218037716,0.167298083,0.026,0,1,,
Shq1,0.218037716,0.133612693,0.026,0,1,,
Zfp580,0.218037716,0.145254908,0.026,0,1,,
Pafah1b3,0.218037716,0.126987278,0.026,0,1,,
Ppp1r14a,0.218037716,0.140955104,0.026,0,1,,
Gm44677,0.218037716,0.103048871,0.026,0,1,,
Gm45201,0.218037716,0.143946065,0.026,0,1,,
Anapc15,0.218037716,0.135056368,0.026,0,1,,
Hbb-bs,0.218037716,0.14610643,0.026,0,1,,
Gm45345,0.218037716,0.121485943,0.026,0,1,,
Npy5r,0.218037716,0.142833581,0.026,0,1,,
Gm45854,0.218037716,0.134085768,0.026,0,1,,
Dhx38,0.218037716,0.130746123,0.026,0,1,,
Gm46102,0.218037716,0.246614044,0.026,0,1,,
Vps26b,0.218037716,0.124659254,0.026,0,1,,
Rpusd4,0.218037716,0.175206199,0.026,0,1,,
Zw10,0.218037716,0.130947237,0.026,0,1,,
Rab27a,0.218037716,0.124737084,0.026,0,1,,
Rrp9,0.218037716,0.153345446,0.026,0,1,,
Moxd1,0.218037716,0.13517008,0.026,0,1,,
Gm20300,0.218037716,0.115166368,0.026,0,1,,
Gm47889,0.218037716,0.144960069,0.026,0,1,,
Ado,0.218037716,0.126820488,0.026,0,1,,
Zfp280b,0.218037716,0.121233356,0.026,0,1,,
Spata48,0.218037716,0.148565717,0.026,0,1,,
Zkscan17,0.218037716,0.161499621,0.026,0,1,,
Cyb5d2,0.218037716,0.13293897,0.026,0,1,,
Mnt,0.218037716,0.143208234,0.026,0,1,,
Tsr1,0.218037716,0.139575689,0.026,0,1,,
4930527B05Rik,0.218037716,0.130385439,0.026,0,1,,
Myo19,0.218037716,0.131426298,0.026,0,1,,
Mrpl10,0.218037716,0.141475242,0.026,0,1,,
Fmnl1,0.218037716,0.139853572,0.026,0,1,,
Gm48225,0.218037716,0.122267944,0.026,0,1,,
Samd15,0.218037716,0.135501827,0.026,0,1,,
Tmem251,0.218037716,0.139956625,0.026,0,1,,
Cage1,0.218037716,0.128972132,0.026,0,1,,
Bloc1s5,0.218037716,0.145198415,0.026,0,1,,
Gm7240,0.218037716,0.145976406,0.026,0,1,,
Gm36298,0.218037716,0.122819551,0.026,0,1,,
Rnf17,0.218037716,0.134716466,0.026,0,1,,
Foxred2,0.218037716,0.138325915,0.026,0,1,,
A730060N03Rik,0.218037716,0.134008682,0.026,0,1,,
Baiap2l2,0.218037716,0.163636784,0.026,0,1,,
ENSMUSG00000120310,0.218037716,0.152206683,0.026,0,1,,
Lmbr1l,0.218037716,0.150452121,0.026,0,1,,
Bcdin3d,0.218037716,0.156941425,0.026,0,1,,
Aifm3,0.218037716,0.152081501,0.026,0,1,,
Nrros,0.218037716,0.141834168,0.026,0,1,,
Plcxd2,0.218037716,0.159134682,0.026,0,1,,
Gm15518,0.218037716,0.132810012,0.026,0,1,,
Gm49678,0.218037716,0.138598452,0.026,0,1,,
Dynlt1c,0.218037716,0.147146221,0.026,0,1,,
Bnip1,0.218037716,0.146444022,0.026,0,1,,
Rell2,0.218037716,0.144728649,0.026,0,1,,
Nfatc1,0.218037716,0.142545344,0.026,0,1,,
Cndp2,0.218037716,0.147809702,0.026,0,1,,
Cdk2ap2,0.218037716,0.149611307,0.026,0,1,,
Gm42067,0.218037716,0.132836058,0.026,0,1,,
Tm7sf2,0.218037716,0.143166132,0.026,0,1,,
Eepd1,0.218093108,0.168161452,0.127,0.069,1,,
Polq,0.21840301,0.187080331,0.055,0.017,1,,
Rab1b,0.21840301,0.18464788,0.055,0.017,1,,
Arhgap26.1,0.218577667,0.12182054,0.082,0.034,1,,
Ctsl,0.218728973,-0.056560551,0.184,0.103,1,,
Mak16,0.218922574,0.190116998,0.055,0.017,1,,
Atp6v1h,0.218956956,0.023367831,0.229,0.138,1,,
Gm11508,0.219008495,-0.5219216,0.066,0.103,1,,
Erich2,0.219027312,-0.326684205,0.026,0.052,1,,
Junos,0.219027312,-0.405476645,0.026,0.052,1,,
Heatr5b,0.219049213,0.157996601,0.105,0.052,1,,
Zfp974,0.2190931,0.189464629,0.054,0.017,1,,
Rad23b,0.219349612,-0.589887494,0.15,0.19,1,,
Ppp1r1a,0.219427247,0.099408306,0.107,0.052,1,,
Cep83,0.219443875,0.067941489,0.132,0.069,1,,
Kmt2a,0.219559651,-0.04502745,0.468,0.31,1,,
Gm43874,0.219619282,0.222172471,0.054,0.017,1,,
Pgs1,0.219619282,0.201179267,0.054,0.017,1,,
Anp32e,0.219629779,0.015284295,0.106,0.052,1,,
Capn15,0.219669648,0.060579974,0.156,0.086,1,,
ENSMUSG00000120303,0.21972651,-0.508136784,0.051,0.086,1,,
Surf4,0.219739203,-0.355921052,0.026,0.052,1,,
Micos13,0.21980419,0.140690033,0.08,0.034,1,,
1700030K09Rik,0.219964337,0.168022662,0.055,0.017,1,,
Minar2,0.219967167,-0.184994111,0.109,0.052,1,,
Mbtd1,0.220190395,-0.010044052,0.329,0.207,1,,
Ubac1,0.220238942,0.026525276,0.08,0.034,1,,
Megf8,0.220238942,0.04746157,0.08,0.034,1,,
9130015G15Rik,0.220238942,0.131132181,0.08,0.034,1,,
Tmtc2,0.220321349,-0.051758418,0.348,0.224,1,,
Dnajc15,0.220569918,0.031280613,0.107,0.052,1,,
Romo1,0.220584436,0.138981651,0.079,0.034,1,,
Kifap3,0.220643755,-0.603955687,0.429,0.397,1,,
Synrg,0.220755432,0.10021344,0.152,0.086,1,,
Lrrc59,0.220760424,-0.432119814,0.051,0.086,1,,
Dnttip1,0.220778881,0.067863098,0.106,0.052,1,,
Prmt5,0.221009652,0.165104722,0.055,0.017,1,,
Mpc2,0.221168132,-0.899274004,0.134,0.172,1,,
Mpdz,0.221379897,-0.79723715,0.113,0.155,1,,
Ddx6,0.22138101,-0.452804298,0.201,0.241,1,,
Txndc11,0.221477574,0.06249699,0.2,0.121,1,,
Zfp777,0.221533643,0.143579323,0.055,0.017,1,,
Capns1,0.221533643,0.188208343,0.055,0.017,1,,
Far1,0.221723165,-0.029827209,0.252,0.155,1,,
1810013L24Rik,0.221836199,0.101086972,0.13,0.069,1,,
Gm36992,0.221902859,0.160226784,0.079,0.034,1,,
Nmt1,0.222026736,0.000591662,0.204,0.121,1,,
Lrrc40,0.222099251,0.028109301,0.156,0.086,1,,
Efna5,0.222214669,-0.029393645,0.177,0.103,1,,
Ckmt1,0.222343581,0.108619614,0.079,0.034,1,,
5730455P16Rik,0.22242195,0.156863475,0.08,0.034,1,,
Rnf146,0.222470572,-0.002379161,0.082,0.034,1,,
Rp2,0.222603371,-0.256946999,0.026,0.052,1,,
Ino80,0.223054605,-0.305850231,0.228,0.138,1,,
Wac,0.223075024,-0.186495005,0.352,0.224,1,,
Tsen34,0.223110941,0.136875182,0.055,0.017,1,,
Siah1a,0.223252768,0.040210088,0.107,0.052,1,,
Med6,0.223252768,-0.052991208,0.107,0.052,1,,
Marchf6,0.223282919,0.044376975,0.27,0.172,1,,
Fkrp,0.22332357,-0.28262862,0.026,0.052,1,,
Mterf2,0.223327953,0.209951922,0.054,0.017,1,,
Bloc1s2,0.223342357,-0.004118447,0.082,0.034,1,,
Lrrc41,0.223638507,0.123971526,0.055,0.017,1,,
Snx5,0.223669509,0.139710616,0.079,0.034,1,,
Iars,0.223686028,-0.641304583,0.099,0.138,1,,
Map3k5,0.224166937,0.112380748,0.055,0.017,1,,
Rpp30,0.224166937,0.122895731,0.055,0.017,1,,
Sdc2,0.224179485,0.023896642,0.08,0.034,1,,
Timp4,0.224270506,0.125010688,0.105,0.052,1,,
Cog4,0.224303401,0.055793378,0.13,0.069,1,,
Gm19026,0.224477403,-0.133925014,0.005,0.017,1,,
Ptp4a1,0.224477403,-0.140652073,0.005,0.017,1,,
Gm16897,0.224477403,-0.215295805,0.005,0.017,1,,
Gm37366,0.224477403,-0.228812446,0.005,0.017,1,,
Gm37006,0.224477403,-0.168791623,0.005,0.017,1,,
Tpx2,0.224477403,-0.087759256,0.005,0.017,1,,
Gm37965,0.224477403,-0.152975737,0.005,0.017,1,,
Gm37170,0.224477403,-0.252383931,0.005,0.017,1,,
Gm37726,0.224477403,-0.150016963,0.005,0.017,1,,
ENSMUSG00000120121,0.224477403,-0.215898449,0.005,0.017,1,,
Gm42941,0.224477403,-0.176662523,0.005,0.017,1,,
Gm43430,0.224477403,-0.250104,0.005,0.017,1,,
Gm11808,0.224477403,-0.25382713,0.005,0.017,1,,
ENSMUSG00000120475,0.224477403,-0.128527076,0.005,0.017,1,,
Gm12446,0.224477403,-0.127524588,0.005,0.017,1,,
Smc2os,0.224477403,-0.14173417,0.005,0.017,1,,
Dmrta2,0.224477403,-0.127727994,0.005,0.017,1,,
Rpa2,0.224477403,-0.267573097,0.005,0.017,1,,
Gm15587,0.224477403,-0.130793034,0.005,0.017,1,,
Gm43321,0.224477403,-0.194895558,0.005,0.017,1,,
Rpl37rt,0.224477403,-0.152053316,0.005,0.017,1,,
Gm42878,0.224477403,-0.230875068,0.005,0.017,1,,
ENSMUSG00000119946,0.224477403,-0.221374751,0.005,0.017,1,,
Fzd9,0.224477403,-0.280673897,0.005,0.017,1,,
Gm16042,0.224477403,-0.166419049,0.005,0.017,1,,
Asb15,0.224477403,-0.122200436,0.005,0.017,1,,
Gm43875,0.224477403,-0.161581946,0.005,0.017,1,,
Gm45053,0.224477403,-0.178190943,0.005,0.017,1,,
D030047H15Rik,0.224477403,-0.251544768,0.005,0.017,1,,
Pglyrp1,0.224477403,-0.214460758,0.005,0.017,1,,
0610005C13Rik,0.224477403,-0.127232956,0.005,0.017,1,,
Ctsc,0.224477403,-0.361877433,0.005,0.017,1,,
Cox20b,0.224477403,-0.185856739,0.005,0.017,1,,
Bag3,0.224477403,-0.208945465,0.005,0.017,1,,
Gm45470,0.224477403,-0.13098522,0.005,0.017,1,,
Asf1b,0.224477403,-0.206027649,0.005,0.017,1,,
Gm16833,0.224477403,-0.34863305,0.005,0.017,1,,
S1pr2,0.224477403,-0.165988375,0.005,0.017,1,,
Il10ra,0.224477403,-0.251007051,0.005,0.017,1,,
Gm38375,0.224477403,-0.078834702,0.005,0.017,1,,
Gm37953,0.224477403,-0.361707253,0.005,0.017,1,,
Gm47771,0.224477403,-0.21070867,0.005,0.017,1,,
Gm48045,0.224477403,-0.080884196,0.005,0.017,1,,
Gm47200,0.224477403,-0.179900192,0.005,0.017,1,,
Gm11973,0.224477403,-0.13287001,0.005,0.017,1,,
Gm11975,0.224477403,-0.217759479,0.005,0.017,1,,
Doc2b,0.224477403,-0.181104519,0.005,0.017,1,,
ENSMUSG00000120202,0.224477403,-0.123297885,0.005,0.017,1,,
Fam20a,0.224477403,-0.119581169,0.005,0.017,1,,
Gm11734,0.224477403,-0.21111252,0.005,0.017,1,,
ENSMUSG00000120443,0.224477403,-0.278889863,0.005,0.017,1,,
Kcns3,0.224477403,-0.182090195,0.005,0.017,1,,
Gm48536,0.224477403,-0.232437922,0.005,0.017,1,,
Prox2os,0.224477403,-0.08887402,0.005,0.017,1,,
Tert,0.224477403,-0.295112096,0.005,0.017,1,,
Gm32089,0.224477403,-0.169330212,0.005,0.017,1,,
Gm5086,0.224477403,-0.12812512,0.005,0.017,1,,
Il3ra,0.224477403,-0.161774984,0.005,0.017,1,,
D830030K20Rik,0.224477403,-0.146460627,0.005,0.017,1,,
Btd,0.224477403,-0.172306823,0.005,0.017,1,,
Gpt,0.224477403,-0.131845116,0.005,0.017,1,,
Gm49694,0.224477403,-0.123614232,0.005,0.017,1,,
Gm49584,0.224477403,-0.229000294,0.005,0.017,1,,
Gm15713,0.224477403,-0.182610007,0.005,0.017,1,,
Gm49660,0.224477403,-0.081063324,0.005,0.017,1,,
Dnajc28,0.224477403,-0.25088694,0.005,0.017,1,,
Gm34035,0.224477403,-0.189082158,0.005,0.017,1,,
Gm22146,0.224477403,-0.204970877,0.005,0.017,1,,
Cyp4f17,0.224477403,-0.114244871,0.005,0.017,1,,
Sapcd1,0.224477403,-0.185942618,0.005,0.017,1,,
Gm37248,0.224477403,-0.139535477,0.005,0.017,1,,
Efhb,0.224477403,-0.16006364,0.005,0.017,1,,
ENSMUSG00000120636,0.224477403,-0.124596853,0.005,0.017,1,,
Pcdhb10,0.224477403,-0.106172631,0.005,0.017,1,,
Ifit1bl2,0.224477403,-0.2677419,0.005,0.017,1,,
Hps6,0.224477403,-0.205514986,0.005,0.017,1,,
Itgb1bp2,0.224477403,-0.274147314,0.005,0.017,1,,
Zfp945,0.224696272,0.123182136,0.055,0.017,1,,
Ccdc91,0.224696286,0.113344926,0.055,0.017,1,,
Dynlt1b,0.224696286,0.116021262,0.055,0.017,1,,
Ppp6r2,0.224732663,0.022743305,0.256,0.155,1,,
Armcx1,0.224796255,-0.064448094,0.107,0.052,1,,
Eif2b4,0.224856113,0.128226327,0.105,0.052,1,,
Slc25a4,0.225044169,-0.54868004,0.428,0.414,1,,
Set,0.225098116,0.094009239,0.173,0.103,1,,
Gm16068,0.225226501,0.080130533,0.055,0.017,1,,
Rex1bd,0.225226514,0.071856841,0.055,0.017,1,,
Pml,0.225226514,0.104665965,0.055,0.017,1,,
Rcan1,0.225226514,0.113549616,0.055,0.017,1,,
Hdac7,0.225559775,0.291195908,0.1,0.052,1,,
Nit1,0.225570836,-0.01927887,0.107,0.052,1,,
Abhd12,0.225604963,-0.014494586,0.2,0.121,1,,
Cnot6,0.225722018,0.021698223,0.13,0.069,1,,
Bub3,0.225757636,0.054769213,0.055,0.017,1,,
Gm21811,0.225757636,0.101784205,0.055,0.017,1,,
Ipmk,0.225757636,0.098748842,0.055,0.017,1,,
Spice1,0.225757636,0.03771765,0.055,0.017,1,,
Ccdc85a,0.225805356,0.296934195,0.238,0.155,1,,
Celrr,0.226049697,-0.103784207,0.005,0.017,1,,
Ndor1.1,0.226049697,-0.075661888,0.005,0.017,1,,
Gm43088,0.226049697,-0.071297309,0.005,0.017,1,,
Gm43795,0.226049697,-0.121133455,0.005,0.017,1,,
Ltbr,0.226049697,-0.078980895,0.005,0.017,1,,
Trpm4,0.226049697,-0.12506694,0.005,0.017,1,,
Bfsp2,0.226049697,-0.088340341,0.005,0.017,1,,
1700048O20Rik,0.226049697,-0.119936188,0.005,0.017,1,,
Cd24a,0.226049697,-0.153366274,0.005,0.017,1,,
Edar,0.226049697,-0.14947474,0.005,0.017,1,,
Gm20492,0.226049697,-0.086641924,0.005,0.017,1,,
2010001A14Rik,0.226049697,-0.06404427,0.005,0.017,1,,
Gm11423,0.226049697,-0.117206459,0.005,0.017,1,,
ENSMUSG00000120010,0.226049697,-0.049259097,0.005,0.017,1,,
Gli3,0.226049697,-0.125269943,0.005,0.017,1,,
Zfp41,0.226049697,-0.13500966,0.005,0.017,1,,
Nde1,0.226049697,-0.071744788,0.005,0.017,1,,
Gm36963,0.226049697,-0.146080521,0.005,0.017,1,,
Pim1,0.226049697,-0.115108572,0.005,0.017,1,,
H2-M3,0.226049697,-0.20628587,0.005,0.017,1,,
Scamp5,0.226167014,0.023153647,0.172,0.103,1,,
Natd1,0.226221034,-0.458385115,0.026,0.052,1,,
Dis3,0.226221034,-0.299015193,0.026,0.052,1,,
Nacc2,0.226289637,-0.013650444,0.055,0.017,1,,
Fam207a,0.226289637,0.052278093,0.055,0.017,1,,
4933434E20Rik,0.22628965,0.016127777,0.055,0.017,1,,
Phaf1,0.22628965,-0.050550347,0.055,0.017,1,,
Gm42477,0.22628965,-0.076993317,0.055,0.017,1,,
Myl12b,0.22628965,-0.017413833,0.055,0.017,1,,
Ric3,0.226330438,0.216376242,0.19,0.121,1,,
Spacdr,0.226390346,0.107598508,0.08,0.034,1,,
Arfgap1,0.226433727,0.032313004,0.13,0.069,1,,
Abce1,0.226434952,-0.603880308,0.098,0.138,1,,
Calcoco1,0.226542324,0.20995213,0.054,0.017,1,,
Esf1,0.226635937,-0.611429252,0.151,0.19,1,,
Ankrd26,0.226736307,-0.137945254,0.107,0.052,1,,
Parp8,0.226817796,-0.10904959,0.132,0.069,1,,
Ttc9,0.226949572,-0.242699981,0.026,0.052,1,,
Gm49915,0.226949572,-0.29451762,0.026,0.052,1,,
Polr3k,0.227122903,-0.481495171,0.039,0.069,1,,
4930570B17Rik,0.227423264,0.103005712,0.104,0.052,1,,
Slco5a1,0.227445201,0.013573241,0.202,0.121,1,,
Whrn,0.227621074,0.216210012,0.054,0.017,1,,
Chn1os3,0.227629835,-0.04615341,0.005,0.017,1,,
Gm42455,0.227629835,-0.050683327,0.005,0.017,1,,
Fgf5,0.227629835,-0.04901956,0.005,0.017,1,,
Gm17216,0.227629835,-0.047431394,0.005,0.017,1,,
Slc17a6,0.227629835,-0.112850847,0.005,0.017,1,,
Klhl35,0.227629835,-0.077592975,0.005,0.017,1,,
