X.1,X,p_val.x,avg_log2FC.x,pct.1.x,pct.2.x,p_val_adj.x,p_val.y,avg_log2FC.y,pct.1.y,pct.2.y,p_val_adj.y,hits in circadian databases
213,Atpif1,2.68E-24,0.262153257,0.565,0.498,9.35E-20,1.49E-13,-0.138293512,0.517,0.565,5.21E-09,1
214,Atxn7l1,1.90E-12,-0.106364382,0.426,0.49,6.64E-08,9.85E-07,0.07391553,0.483,0.426,0.034334703,2
215,Atxn7l3,2.19E-12,0.127462789,0.179,0.135,7.63E-08,3.64E-12,-0.126030248,0.135,0.179,1.27E-07,#N/A
216,Atxn7l3b,2.02E-76,0.451596191,0.52,0.385,7.03E-72,1.19E-24,-0.204961479,0.456,0.52,4.15E-20,1
217,Aurkaip1,8.80E-16,0.145083927,0.137,0.092,3.07E-11,3.16E-07,-0.084342376,0.107,0.137,0.01101857,#N/A
219,AW554918,4.15E-23,-0.142602363,0.337,0.422,1.45E-18,1.24E-24,0.159700741,0.435,0.337,4.32E-20,1
220,AW822252,7.43E-22,-0.098044947,0.055,0.1,2.59E-17,5.00E-10,0.049985555,0.084,0.055,1.74E-05,#N/A
221,B230208B08Rik,2.28E-14,-0.113795052,0.175,0.23,7.93E-10,3.23E-14,0.116661984,0.235,0.175,1.13E-09,#N/A
222,B230219D22Rik,2.83E-25,0.24967359,0.347,0.271,9.85E-21,3.98E-14,-0.170495785,0.293,0.347,1.39E-09,#N/A
223,B230369F24Rik,2.03E-11,-0.079568736,0.084,0.121,7.08E-07,1.27E-13,0.075385973,0.127,0.084,4.41E-09,#N/A
224,B3galnt2,3.47E-13,-0.094815077,0.158,0.209,1.21E-08,3.73E-09,0.077453684,0.203,0.158,0.000129938,1
225,B4galnt4,3.46E-11,-0.075815371,0.171,0.219,1.21E-06,3.28E-13,0.090720151,0.229,0.171,1.14E-08,#N/A
227,Bag1,1.21E-15,0.169721412,0.179,0.129,4.22E-11,1.33E-09,-0.106805607,0.14,0.179,4.64E-05,1
228,Bag5,3.12E-21,0.149563689,0.136,0.084,1.09E-16,1.34E-12,-0.101322403,0.095,0.136,4.67E-08,#N/A
230,Banf1,8.32E-15,0.143484771,0.098,0.061,2.90E-10,5.13E-11,-0.103613523,0.065,0.098,1.79E-06,1
233,Bbs2,1.37E-17,-0.094151135,0.078,0.125,4.78E-13,4.05E-12,0.079648288,0.117,0.078,1.41E-07,#N/A
234,BC006965,4.02E-15,-0.137463719,0.091,0.134,1.40E-10,1.24E-16,0.131562606,0.14,0.091,4.32E-12,#N/A
236,Bdh1,8.64E-24,-0.137181787,0.157,0.229,3.01E-19,1.30E-13,0.09434373,0.213,0.157,4.52E-09,3
237,Bend6,1.06E-09,-0.066168262,0.369,0.427,3.71E-05,8.68E-12,0.097438112,0.442,0.369,3.03E-07,#N/A
238,Bex1,3.14E-18,0.186956407,0.262,0.202,1.09E-13,4.76E-13,-0.143126813,0.212,0.262,1.66E-08,#N/A
