"","feature","ave_expr","log_fc","stat","pvalue","padj","rate1","rate2","group1","group2"
"33092","Gm25102",0.657335768166537,0.0443260102716477,0.0197731127893676,0.984224366575362,NA,0.000173085244482908,0.000170677590032429,"SD3D R7","ZT6"
"33093","Gm55097",0.657335768166537,0.0443260102716477,0.0197731127893676,0.984224366575362,NA,0.000173085244482908,0.000170677590032429,"SD3D R7","ZT6"
"33094","Glyat",0.657335768166537,0.0443260102716477,0.0197731127893676,0.984224366575362,NA,0.000173085244482908,0.000170677590032429,"SD3D R7","ZT6"
"33095","Fam83b",11.4571432307217,-0.0103616882271076,-0.0197614277729292,0.984233688048234,NA,0.00259627866724362,0.00273084144051886,"SD3D R7","ZT6"
"33096","ENSMUSG00000120928",0.997904175926198,0.0342295018255656,0.0197302506527912,0.984258558942011,NA,0.000259627866724362,0.000256016385048643,"SD3D R7","ZT6"
"33097","Gm12537",0.997904175926198,0.0342295018255656,0.0197302506527912,0.984258558942011,NA,0.000259627866724362,0.000256016385048643,"SD3D R7","ZT6"
"33098","Hs3st6",0.997904175926198,0.0342295018255656,0.0197302506527912,0.984258558942011,NA,0.000259627866724362,0.000256016385048643,"SD3D R7","ZT6"
"33099","Gpr143",0.997904175926198,0.0342295018255656,0.0197302506527912,0.984258558942011,NA,0.000259627866724362,0.000256016385048643,"SD3D R7","ZT6"
"33100","Lrrc66",1.99439093022341,0.0251417929904426,0.0197210532396078,0.984265895988423,NA,0.00043271311120727,0.000512032770097286,"SD3D R7","ZT6"
"33101","Gm13383",0.99785669996494,0.0341560015833504,0.0196876472349276,0.98429254494991,NA,0.000259627866724362,0.000256016385048643,"SD3D R7","ZT6"
"33102","Gm46191",0.99785669996494,0.0341560015833504,0.0196876472349276,0.98429254494991,NA,0.000259627866724362,0.000256016385048643,"SD3D R7","ZT6"
"33103","Slc36a1os",0.99785669996494,0.0341560015833504,0.0196876472349276,0.98429254494991,NA,0.000259627866724362,0.000256016385048643,"SD3D R7","ZT6"
"33104","Gm23940",0.99785669996494,0.0341560015833504,0.0196876472349276,0.98429254494991,NA,0.000259627866724362,0.000256016385048643,"SD3D R7","ZT6"
"33105","Prdx6b",1.32988553009024,0.0290325371367151,0.0196192953155825,0.984347071359373,NA,0.000346170488965816,0.000341355180064858,"SD3D R7","ZT6"
"33106","Gm10073",20.108658371898,0.00779444821211013,0.019610274790035,0.984354267313019,NA,0.00519255733448724,0.00520566649598908,"SD3D R7","ZT6"
"33107","Gm23382",1.32983805412899,0.0289788240046385,0.0195828438525461,0.984376149832407,NA,0.000346170488965816,0.000341355180064858,"SD3D R7","ZT6"
"33108","Ube2d2b",1.32983805412899,0.0289788240046385,0.0195828438525461,0.984376149832407,NA,0.000346170488965816,0.000341355180064858,"SD3D R7","ZT6"
"33109","Gm38144",1.32983805412899,0.0289788240046385,0.0195828438525461,0.984376149832407,NA,0.000346170488965816,0.000341355180064858,"SD3D R7","ZT6"
"33110","Gm20735",1.32900159853604,0.030038717751122,0.0195702987097641,0.984386157490284,NA,0.000346170488965816,0.000341355180064858,"SD3D R7","ZT6"
"33111","Elp3",426.80362470945,0.00168167815756236,0.0194833613559336,0.98445551023938,0.994169243377624,0.10116832540026,0.101809182454344,"SD3D R7","ZT6"
"33112","Kdm1a",1605.38401484593,-0.000863282670724602,-0.0194601657227608,0.984474014168755,0.994169243377624,0.307053223712679,0.309438470728793,"SD3D R7","ZT6"
"33113","Dcbld1",293.600449141475,-0.00199810786178563,-0.0194586482401927,0.984475224715447,0.994169243377624,0.0649935093033319,0.0637480798771121,"SD3D R7","ZT6"
"33114","ENSMUSG00000120894",1.66005154518463,0.0272475977425183,0.0193304243392266,0.984577513346641,NA,0.00043271311120727,0.000426693975081072,"SD3D R7","ZT6"
"33115","Gm12183",1.66005154518463,0.0272475977425183,0.0193304243392266,0.984577513346641,NA,0.00043271311120727,0.000426693975081072,"SD3D R7","ZT6"
"33116","ENSMUSG00000120678",1.66093547673883,0.0264803807324359,0.0192956143836893,0.984605282493397,NA,0.00043271311120727,0.000426693975081072,"SD3D R7","ZT6"
"33117","Gm42731",25.2577794029409,-0.00670129851524022,-0.0192684567893592,0.984626947090832,0.994241573518137,0.00640415404586759,0.00657108721624851,"SD3D R7","ZT6"
"33118","Gm6085",1.33233851288749,0.0295392251790921,0.0192559568348796,0.984636918761443,NA,0.000346170488965816,0.000341355180064858,"SD3D R7","ZT6"
"33119","Fmo6",0.657383244127795,0.0452767167772191,0.0192332936615182,0.984654998009381,NA,0.000173085244482908,0.000170677590032429,"SD3D R7","ZT6"
"33120","Rnf183",0.657383244127795,0.0452767167772191,0.0192332936615182,0.984654998009381,NA,0.000173085244482908,0.000170677590032429,"SD3D R7","ZT6"
"33121","Gm24840",0.657383244127795,0.0452767167772191,0.0192332936615182,0.984654998009381,NA,0.000173085244482908,0.000170677590032429,"SD3D R7","ZT6"
"33122","Gcgr",0.657383244127795,0.0452767167772191,0.0192332936615182,0.984654998009381,NA,0.000173085244482908,0.000170677590032429,"SD3D R7","ZT6"
"33123","Olfr288",0.657383244127795,0.0452767167772191,0.0192332936615182,0.984654998009381,NA,0.000173085244482908,0.000170677590032429,"SD3D R7","ZT6"
"33124","Gm11633",37.3214971609863,-0.00562500574442938,-0.0192027617777573,0.98467935442982,0.994241573518137,0.00934660320207702,0.00964328383683222,"SD3D R7","ZT6"
"33125","Gm18304",0.995403717167693,0.0332688993157395,0.0191643650219653,0.984709984971771,NA,0.000259627866724362,0.000256016385048643,"SD3D R7","ZT6"
"33126","D030025E07Rik",0.995403717167693,0.0332688993157395,0.0191643650219653,0.984709984971771,NA,0.000259627866724362,0.000256016385048643,"SD3D R7","ZT6"
"33127","4930579F01Rik",0.995403717167693,0.0332688993157395,0.0191643650219653,0.984709984971771,NA,0.000259627866724362,0.000256016385048643,"SD3D R7","ZT6"
"33128","5430401F13Rik",0.995403717167693,0.0332688993157395,0.0191643650219653,0.984709984971771,NA,0.000259627866724362,0.000256016385048643,"SD3D R7","ZT6"
"33129","Gm12345",0.995403717167693,0.0332688993157395,0.0191643650219653,0.984709984971771,NA,0.000259627866724362,0.000256016385048643,"SD3D R7","ZT6"
"33130","Gm19667",110.340569679538,0.00340480121764302,0.0191581208645027,0.98471496617409,0.994241573518137,0.0270012981393336,0.0279057859703021,"SD3D R7","ZT6"
